"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
339,,"2022-05-24 20:37:46","Private MD",M1,,No,Yes,No,0,100,"Yes, partial",200,0,250,0,0,500,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,Neutral,Neutral,Neutral,Agree,"The same as",24,Woman,White,No,Complete
340,,"2022-05-24 21:03:51","Private MD",M2,,No,Yes,Yes,20,12,"Yes, full",200,200,500,100,,500,,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,Neutral,Agree,"Significantly more than",25,Man,White,Yes,Complete
341,,"2022-05-24 22:12:28","Private MD",M1,,No,Yes,Yes,20,0,"Yes, full",50,300,300,350,,1000,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,"Strongly agree","Strongly agree","The same as",25,Woman,White,No,Complete
342,,"2022-05-24 23:34:04","Private MD",M3,,No,No,Yes,0,100,No,50,3000,500,400,2000,300,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,No,,"Strongly agree",Neutral,"Strongly disagree",Disagree,"Significantly more than",30,Woman,White,No,Complete
343,,"2022-05-25 00:17:01","Private MD",M3,,No,Yes,,400,0,No,200,1000,300,0,1000,300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly disagree",Disagree,"Significantly more than",25,Woman,Asian,No,Complete
344,,"2022-05-25 10:18:09","Private MD",M2,,Yes,Yes,No,20,4,"Yes, full",100,1000,300,0,,250,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",24,Man,White,No,Complete
345,,"2022-05-25 12:28:17","Public MD",M3,,No,Yes,No,4,252,"Yes, partial",150,700,400,300,1600,300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",27,Woman,White,No,Complete
346,,"2022-05-25 12:56:27","Private MD",M2,,No,Yes,Yes,200,168,"Yes, partial",2500,3000,800,100,1500,3300,0,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",23,Man,Asian,No,Complete
347,,"2022-05-25 13:21:41","Public MD",M2,,No,Yes,Yes,204,0,No,1000,50,500,0,2000,1000,,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,Disagree,"Strongly disagree","The same as",23,Woman,Asian,No,Complete
348,,"2022-05-25 13:24:20","Public MD",M3,,Yes,Yes,Yes,32,400,No,400,1000,1050,100,700,300,0,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree","Strongly agree",Agree,"Significantly more than",29,Woman,"Black or African American",No,Complete
349,,"2022-05-25 13:24:53","Public MD",M4,,No,Yes,Yes,200,8,"Yes, partial",500,1000,800,200,2000,1500,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,Neutral,"Significantly more than",24,Man,Asian,No,Complete
350,,"2022-05-25 13:25:19","Public MD",M3,,No,No,Yes,200,200,"Yes, partial",100,500,200,0,950,300,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Neutral,Neutral,"Significantly more than",26,Man,"Prefer not to answer",No,Complete
351,,"2022-05-25 13:26:44","Private MD",M3,,No,Yes,No,0,120,"Yes, full",650,1500,500,150,1250,400,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,"Strongly agree","Strongly disagree",Agree,Agree,"Significantly more than",26,Woman,"Black or African American",No,Complete
352,,"2022-05-25 13:27:55","Public MD",M4,,No,Yes,No,32,100,"Yes, MSTP or other PhD funded program",700,700,900,750,1600,3000,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",29,Man,White,No,Complete
353,,"2022-05-25 13:35:32","Private MD",M3,,No,Yes,Yes,16,0,"Yes, full",50,2000,200,100,1300,200,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,Neutral,Disagree,"The same as",26,Woman,White,No,Complete
354,,"2022-05-25 13:49:47","Public MD",M3,,No,Yes,Yes,172,,"Yes, partial",2550,2950,1450,500,1300,1250,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,Neutral,Agree,"Significantly more than",24,Woman,Asian,No,Complete
355,,"2022-05-25 14:06:43","Public MD",M4,,No,Yes,No,0,252,No,0,650,100,100,2500,150,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Neutral,Neutral,"The same as",25,Woman,White,No,Complete
356,,"2022-05-25 14:19:26","Public MD",M4,,No,Yes,"Prefer not to answer",4,400,No,900,4300,550,0,1300,650,0,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",29,Woman,"Black or African American",No,Complete
357,,"2022-05-25 14:47:39","Public MD",M3,,No,No,Yes,28,0,No,150,1250,100,0,650,300,,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Neutral,Agree,"Significantly more than",23,Woman,Asian,No,Complete
358,,"2022-05-25 16:40:54","Public MD",M1,,Yes,Yes,No,0,200,"Yes, partial",200,2900,300,250,650,150,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",24,Man,White,No,Complete
359,,"2022-05-25 16:59:56","Public MD",M4,,No,Yes,No,0,280,"Yes, full",700,1700,550,350,1250,700,1350,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",33,Woman,White,No,Complete
360,,"2022-05-25 17:33:10","Public MD",M3,,No,Yes,Yes,4,0,"Yes, partial",2000,2000,1000,0,2000,100,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",24,Man,White,No,Complete
361,,"2022-05-26 03:11:57","Public MD",M2,,No,Yes,Yes,24,200,"Yes, partial",400,2200,650,0,850,400,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree",Neutral,Neutral,Agree,"Significantly more than",27,Man,White,Yes,Complete
362,,"2022-05-26 06:02:09","Private MD",M3,,No,Yes,No,0,236,No,200,900,100,50,650,250,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Neutral,"Significantly more than",25,Man,White,No,Complete
363,,"2022-05-26 09:01:06","Private MD","Graduate student, professional student years",,Unsure,Yes,No,36,84,"Yes, MSTP or other PhD funded program",100,800,800,250,1000,500,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",27,Woman,"Black or African American",No,Complete
364,,"2022-05-26 13:19:48","Public MD",M4,,Yes,Yes,No,0,200,No,400,2100,2500,2500,2500,2500,4650,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,No,,Agree,Agree,Agree,Agree,"Significantly more than",28,Woman,Asian,No,Complete
365,,"2022-05-26 13:41:46","Public MD",M4,,Yes,Yes,No,0,140,No,500,2000,200,100,2000,300,300,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",,Woman,White,No,Complete
366,,"2022-05-26 13:48:36","Public MD",M4,,No,Yes,Yes,8,204,"Yes, partial",1000,1550,800,150,1500,700,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",30,Woman,White,No,Complete
367,,"2022-05-26 14:57:17","Public MD",M4,,No,Yes,Yes,400,200,No,500,2500,1000,600,1500,1000,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,"Strongly disagree","The same as",25,Woman,White,No,Complete
368,,"2022-05-26 17:35:53","Private MD",M2,,No,No,Yes,32,0,"Yes, full",0,0,0,0,,0,,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Disagree,Disagree,"The same as",22,Woman,"Black or African American",No,Complete
369,,"2022-05-26 18:11:13","Public MD",M3,,No,Yes,Yes,100,400,No,300,4000,1000,300,,350,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",25,Man,Asian,No,Complete
370,,"2022-05-26 20:12:12","Public MD",M4,,Yes,Yes,No,0,300,"Yes, partial",2100,3000,850,50,1700,450,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Neutral,Neutral,"Significantly more than",26,Woman,White,No,Complete
371,,"2022-05-26 21:31:37","Private MD",M3,,No,No,Yes,24,0,No,100,1000,250,100,,650,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Agree,Neutral,Neutral,Disagree,"Significantly more than",25,Woman,White,Yes,Complete
372,,"2022-05-27 06:01:43","Public MD",M3,,No,Yes,No,88,120,"Yes, full",500,1000,50,0,700,250,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree","Strongly disagree",Agree,Disagree,"Significantly more than",23,Man,"Black or African American",No,Complete
373,,"2022-05-27 07:37:35","Public MD",M3,,No,Yes,Yes,12,0,"Yes, partial",0,2000,500,100,1650,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Neutral,Agree,"The same as",24,Man,White,No,Complete
374,,"2022-05-27 08:38:35","Private MD",M3,,No,Yes,Yes,0,400,No,,700,900,0,1400,600,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,"They offer none","Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",26,Woman,"Black or African American",No,Complete
375,,"2022-05-27 12:46:54","Private MD",M4,,No,Yes,Yes,80,160,"Yes, partial",300,1500,1000,100,1400,200,,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Yes,,"Strongly agree",Neutral,Neutral,Disagree,"Significantly more than",29,Man,Asian,No,Complete
376,,"2022-05-27 17:03:44","Private MD",M3,,Yes,Yes,No,24,100,"Yes, full",50,300,250,50,1250,50,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,No,"Tuition only","Strongly agree",Neutral,Agree,"Strongly agree","Significantly more than",25,Woman,Asian,No,Complete
377,,"2022-05-28 21:32:10","Public MD",M4,,No,Yes,Yes,124,12,"Yes, partial",350,1600,500,100,1550,300,1950,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Disagree,"Significantly more than",26,Woman,White,No,Complete
378,,"2022-05-30 13:04:28","Private MD",M4,,No,Yes,Yes,80,0,No,300,1000,300,100,1350,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Disagree,Disagree,"The same as",27,Man,White,No,Complete
379,,"2022-05-31 14:55:16","Private MD",M3,,No,Yes,No,0,300,"Yes, partial",50,1000,800,150,1200,150,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Neutral,Disagree,"Significantly more than",26,Woman,White,No,Complete
380,,"2022-05-31 14:56:35","Private MD",M2,,No,Yes,Yes,,,No,150,2000,500,50,,150,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Agree,Agree,"Strongly agree","Significantly more than",26,Woman,Asian,No,Complete
381,,"2022-05-31 16:59:01","Private MD",M4,,No,Yes,No,0,400,No,50,1000,200,0,1300,800,2250,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Unsure,,Disagree,Agree,"Strongly agree",Agree,"The same as",31,Woman,Asian,No,Complete
382,,"2022-06-01 15:47:21","Private MD",M4,,"Prefer not to answer","Prefer not to answer","Prefer not to answer",,0,No,400,2000,250,400,2500,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Agree,Neutral,Neutral,"Significantly more than",29,Man,"Prefer not to answer","Prefer not to answer",Complete
383,,"2022-06-02 08:36:05","Private MD",M3,,Yes,Yes,No,0,352,No,350,1200,500,0,1850,2500,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,"Strongly agree","Strongly agree","The same as",28,Woman,Asian,No,Complete
384,,"2022-06-02 15:48:05","Private MD","Research/Year out",,Yes,Yes,No,40,240,"Yes, partial",550,1550,300,400,1800,2000,5100,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",28,Woman,White,No,Complete
385,,"2022-06-04 20:40:37","Private MD",M2,,No,Yes,Yes,,0,No,50,0,600,0,,350,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,,Disagree,Disagree,"The same as",27,Non-binary/non-conforming,White,No,Complete
386,,"2022-06-08 10:29:19","Private MD",M4,,No,Yes,Yes,4,320,No,150,2500,1000,500,1200,4000,,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Neutral,Agree,Neutral,"Significantly more than",26,Man,Asian,No,Complete
387,,"2022-06-08 10:35:56","Private MD",M2,,No,Yes,No,0,400,"Yes, partial",450,100,1000,400,0,1000,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",26,Woman,White,Yes,Complete
388,,"2022-06-08 10:36:47","Private MD",M1,,No,Yes,No,0,348,"Yes, partial",350,200,700,0,0,2000,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",22,Woman,White,No,Complete
389,,"2022-06-08 10:39:12","Private MD",M2,,No,No,Yes,400,80,No,200,100,200,0,,950,,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Neutral,Neutral,Disagree,"Strongly disagree","The same as",25,Man,White,No,Complete
390,,"2022-06-08 10:40:32","Private MD",M1,,No,Yes,No,200,320,No,150,200,500,0,0,100,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly agree",Agree,"Significantly more than",24,Man,White,No,Complete
391,,"2022-06-08 10:51:14","Public MD",M4,,No,Yes,No,52,252,"Yes, partial",400,750,400,0,200,500,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Neutral,"Significantly more than",30,Man,White,No,Complete
392,,"2022-06-08 11:07:28","Public MD",M4,,No,Yes,No,64,80,No,300,1500,450,300,1650,0,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Agree,Disagree,"Significantly more than",31,Woman,White,No,Complete
393,,"2022-06-08 11:09:28","Private MD",M1,,No,No,Yes,80,200,No,550,1000,800,0,0,350,0,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Neutral,Agree,"The same as",30,Woman,"Prefer not to answer",No,Complete
394,,"2022-06-08 11:16:50","Public MD",M3,,No,Yes,No,,,No,400,4000,600,300,2500,1600,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Agree,"Strongly agree",Agree,"Significantly more than",,Woman,,No,Complete
395,,"2022-06-08 11:21:10","Public MD",M3,,No,Yes,Yes,120,152,"Yes, partial",50,300,50,0,600,100,,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Agree,Agree,,"Significantly more than",24,Woman,Asian,No,Complete
396,,"2022-06-08 11:22:24","Private MD",M2,,No,Yes,Yes,8,364,No,50,1400,550,250,1350,550,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",25,Woman,White,No,Complete
397,,"2022-06-08 11:31:25","Public MD",M3,,Yes,Yes,Yes,40,80,No,800,1000,2000,1000,2500,3000,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",29,Woman,Asian,No,Complete
398,,"2022-06-08 11:37:08","Private MD",M2,,No,No,Yes,400,200,No,250,200,550,0,0,300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",23,Man,White,No,Complete
399,,"2022-06-08 12:03:22","Private MD",M2,,No,Yes,Yes,32,160,No,950,1000,400,250,0,,,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,No,,Agree,Neutral,Neutral,Agree,"Significantly more than",22,Woman,White,No,Complete
400,,"2022-06-08 12:05:46","Private MD","Research/Year out",,No,Yes,Yes,16,356,"Yes, partial",50,500,800,0,600,1050,1200,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Agree,Agree,Agree,Agree,"The same as",23,Non-binary/non-conforming,White,No,Complete
401,,"2022-06-08 12:12:10","Public MD",M3,,No,Yes,Yes,8,80,"Yes, partial",4000,1750,1000,200,2500,200,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,Agree,Agree,"Significantly more than",28,Woman,White,No,Complete
402,,"2022-06-08 12:49:18","Public MD",M3,,No,Yes,No,8,208,"Yes, partial",600,2000,2500,450,900,2500,0,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree","Strongly disagree","Strongly agree",Neutral,"Significantly more than",27,Woman,"Black or African American",No,Complete
403,,"2022-06-08 13:48:56","Private MD",M2,,No,Yes,Yes,4,400,No,1000,1000,300,0,0,2500,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly agree","Strongly agree","Significantly more than",22,Man,Asian,No,Complete
404,,"2022-06-08 13:51:57","Private MD",M2,,No,No,Yes,4,320,No,3000,500,1050,0,0,500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Disagree,Disagree,"The same as",22,Woman,,No,Complete
405,,"2022-06-08 14:52:31","Private MD",M2,,No,Yes,Yes,0,400,"Yes, partial",600,200,500,150,400,200,,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",21,Non-binary/non-conforming,Asian,No,Complete
406,,"2022-06-08 15:12:20","Public MD",M4,,No,Yes,Yes,,28,"Yes, partial",1000,1950,1000,300,1300,1500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",,"Strongly agree",Agree,"Significantly more than",26,Woman,White,Yes,Complete
407,,"2022-06-08 17:51:21","Public MD",M3,,No,Yes,Yes,,,"Yes, partial",250,1500,200,100,650,100,,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",24,Woman,White,No,Complete
408,,"2022-06-08 17:51:34","Public MD",M4,,Yes,Yes,No,0,300,"Yes, partial",550,1550,550,150,1400,800,,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,No,,"Strongly agree",Agree,Agree,"Strongly agree","The same as",25,Woman,White,No,Complete
409,,"2022-06-08 17:51:50","Public MD",M4,,Yes,Yes,No,28,300,No,200,1500,1000,50,2000,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",28,Man,White,No,Complete
410,,"2022-06-08 17:52:16","Public MD",M4,,No,Yes,Yes,0,208,"Yes, partial",300,1900,500,300,1000,500,,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Agree,Neutral,Agree,"Strongly agree","The same as",25,Man,White,No,Complete
411,,"2022-06-08 17:52:17","Public MD",M3,,No,No,No,0,288,No,0,600,0,0,1800,0,,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Yes,,"Strongly disagree","Strongly agree",Disagree,"Strongly disagree","Significantly less than",26,Man,"Prefer not to answer","Prefer not to answer",Complete
412,,"2022-06-08 17:52:34","Public MD",M3,,Yes,Yes,Yes,24,124,No,100,1800,400,100,1500,100,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,Disagree,"Significantly more than",24,Woman,Asian,No,Complete
413,,"2022-06-08 17:52:55","Public MD",M4,,No,Yes,No,56,308,"Yes, partial",200,2500,350,0,1300,200,,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Yes,,,,,,,34,Woman,White,No,Complete
414,,"2022-06-08 17:53:56","Public MD",M1,,No,Yes,No,0,220,"Yes, partial",200,0,500,0,0,1000,,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Disagree,Disagree,Disagree,Agree,"Significantly less than",24,Man,White,No,Complete
415,,"2022-06-08 17:54:27","Public MD",M3,,No,Yes,No,0,280,No,300,1450,1000,500,1300,1050,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",24,Woman,White,No,Complete
416,,"2022-06-08 17:55:11","Public MD",M2,,No,No,Yes,252,100,No,150,500,150,,,100,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Agree,Disagree,"The same as",24,Woman,White,No,Complete
417,,"2022-06-08 17:57:45","Public MD",M3,,No,Yes,Yes,60,0,"Yes, partial",1500,2500,1000,200,800,400,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,"Strongly agree",Neutral,Neutral,Agree,"Significantly more than",25,Woman,Asian,No,Complete
418,,"2022-06-08 17:58:21","Public MD",M3,,No,No,No,100,64,"Yes, partial",200,2500,1000,200,1200,300,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,Disagree,"The same as",27,Woman,White,No,Complete
419,,"2022-06-08 17:59:30","Public MD",M3,,Yes,Yes,No,64,212,"Yes, partial",500,3000,500,150,600,1500,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Disagree,Agree,Agree,"The same as",26,Man,White,No,Complete
420,,"2022-06-08 18:03:56","Public MD",M4,,No,Yes,No,0,252,"Yes, partial",250,1200,800,200,1200,2550,,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Agree,Agree,Agree,"Strongly agree","The same as",25,Woman,"Prefer not to answer",No,Complete
421,,"2022-06-08 18:10:09","Public MD",M3,,No,Yes,Yes,108,200,No,850,1000,400,100,1000,50,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Agree,"Strongly agree","The same as",28,Man,White,No,Complete
422,,"2022-06-08 18:11:36","Public MD",M3,,No,Yes,Yes,0,0,"Prefer not to answer",100,1500,0,150,750,1450,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Disagree,Agree,"Strongly disagree",Disagree,"The same as",23,Man,White,No,Complete
423,,"2022-06-08 18:11:44","Public MD",M3,,No,Yes,Yes,360,200,"Yes, partial",200,1350,550,0,1050,1150,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Neutral,"Strongly agree",Neutral,Neutral,"The same as",24,Man,White,No,Complete
424,,"2022-06-08 18:16:17","Public MD",M2,,No,Yes,No,0,200,No,0,0,0,0,0,300,0,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Yes,,Disagree,"Strongly agree","Strongly disagree",Agree,"The same as",25,Man,White,No,Complete
425,,"2022-06-08 18:30:51","Public MD",M2,,No,Yes,Yes,4,400,"Yes, partial",1700,700,800,500,2500,1500,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Yes,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",23,Woman,White,Yes,Complete
